Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;ano;Mês;cod mes;Chegadas;Classificação;Sigla_UF;Data
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Agosto;8;10;Média;DF;2023-08-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Setembro;9;2;Média;DF;2023-09-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Outubro;10;3;Média;DF;2023-10-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Novembro;11;4;Média;DF;2023-11-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;8;Média;DF;2023-12-01
EUROPA;6;Rússia;83;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Julho;7;0;Baixa;DF;2023-07-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Setembro;9;1;Média;DF;2023-09-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Outubro;10;2;Média;DF;2023-10-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Maio;5;0;Baixa;DF;2023-05-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Junho;6;1;Média;DF;2023-06-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Julho;7;1;Média;DF;2023-07-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Outubro;10;2;Média;DF;2023-10-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Novembro;11;2;Média;DF;2023-11-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;2;Média;DF;2023-12-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Maio;5;1;Média;DF;2023-05-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Junho;6;1;Média;DF;2023-06-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Julho;7;1;Média;DF;2023-07-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Agosto;8;0;Baixa;DF;2023-08-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Setembro;9;1;Média;DF;2023-09-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Outubro;10;13;Média;DF;2023-10-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Novembro;11;4;Média;DF;2023-11-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Maio;5;0;Baixa;DF;2023-05-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Julho;7;1;Média;DF;2023-07-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Agosto;8;0;Baixa;DF;2023-08-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Setembro;9;1;Média;DF;2023-09-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
AMÉRICA CENTRAL E CARIBE;2;Outros Países;22;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;1;Média;DF;2023-12-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Janeiro;1;3;Média;DF;2023-01-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Abril;4;2;Média;DF;2023-04-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Maio;5;0;Baixa;DF;2023-05-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Junho;6;0;Baixa;DF;2023-06-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Agosto;8;0;Baixa;DF;2023-08-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Setembro;9;1;Média;DF;2023-09-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Outubro;10;3;Média;DF;2023-10-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Novembro;11;4;Média;DF;2023-11-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
ÁFRICA;1;Outros Países;11;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Janeiro;1;4;Média;DF;2023-01-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Marco;3;2;Média;DF;2023-03-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Abril;4;1;Média;DF;2023-04-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Agosto;8;2;Média;DF;2023-08-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Setembro;9;0;Baixa;DF;2023-09-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Outubro;10;1;Média;DF;2023-10-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Novembro;11;0;Baixa;DF;2023-11-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
EUROPA;6;Sérvia;84;Distrito Federal;7;Aéreo;1;2023;Dezembro;12;0;Baixa;DF;2023-12-01
ÁSIA;5;Síria;53;Distrito Federal;7;Aéreo;1;2023;Janeiro;1;0;Baixa;DF;2023-01-01
ÁSIA;5;Síria;53;Distrito Federal;7;Aéreo;1;2023;Julho;7;2;Média;DF;2023-07-01
ÁSIA;5;Síria;53;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
ÁSIA;5;Síria;53;Distrito Federal;7;Aéreo;1;2023;Outubro;10;0;Baixa;DF;2023-10-01
